,farm,address...2,category,present2019,present2020,present2021,lon,lat,address...6
1,ACMA Mission Orchards,"19488 Road 5 NW, Quincy, WA, 98848, United States",farm,1,0,1,-119.9069093,47.1601756,"19488 rd 5 nw, quincy, wa 98848, usa"
2,Alm Hill Gardens,"3550 Alm Rd Everson, WA 98247",farm,1,0,1,-122.2968798,48.9433183,"3550 alm rd, everson, wa 98247, usa"
3,Alvarez Organic Farms,"300 Murray Rd, Mabton, WA 98935",farm,1,0,0,-120.026552,46.271005,"300 murray rd, mabton, wa 98935, usa"
4,Amador Farms,"Moxee, WA 98936",farm,0,0,1,-120.3831623,46.5537327,"moxee, wa, usa"
5,Amarelo Bread,"139 9th Ave N Seattle, WA 98109",bakery,1,0,0,-122.3399656,47.6188305,"139 9th ave n, seattle, wa 98109, usa"
6,Andrea Silverman Designs,"25827 SE 154th St, Issaquah, WA 98027",art,1,0,0,-121.9949618,47.463579,"25827 se 154th st, issaquah, wa 98027, usa"
7,Art n Soul,"2860 NW Market St, Seattle, WA 98107",art,1,0,0,-122.3954269,47.6688277,"2860 nw market st, seattle, wa 98107, usa"
8,Ayako & Family,"1621 17TH Ave APT 110 Seattle, WA, 98122-2764",prepared food,1,0,1,-122.3105712,47.6159897,"1621 17th ave #110, seattle, wa 98122, usa"
9,BaBa Foods Co.,"100 Andover Park W, Tukwila, WA 98188",prepared food,0,0,1,-122.2531113,47.4597557,"100 andover park w, tukwila, wa 98188, usa"
10,BG Gourmet BBQ Sauce,"174th Ave SW Longbranch, WA",prepared food,1,0,0,-122.7695686,47.204152,"174th ave sw, washington 98351, usa"
11,Blissful wunders chocolates,"PMB 396, 3403 Steamboat Island RD NW, Olympia, WA 98502",prepared food,0,0,1,-123.0207476,47.0801701,"3403 steamboat island road northwest #396, olympia, wa 98502, usa"
12,Bonnie B's Peppers,"1500 Pike Place Market, Seattle, WA 98101",prepared food,1,0,1,-122.3405984,47.6088369,"1500 pike pl, seattle, wa 98101, usa"
13,Bow Hill Blueberries,"15628 Bow Hill Rd, Bow, WA 98232",farm,0,0,1,-122.4087901,48.558176,"15628 bow hill rd, bow, wa 98232, usa"
14,Brady's Oysters,"3714 Oyster Pl, Aberdeen, WA 98520",seafood,1,0,0,-124.0736506,46.86143,"3714 oyster pl, aberdeen, wa 98520, usa"
15,Britt's Pickles,"5489 Crawford Rd, Langley, WA 98260",prepared food,1,0,0,-122.4392051,48.0111244,"5489 crawford rd, langley, wa 98260, usa"
16,Brookfield Farm Bees And Honey,"7875 Ambridge Rd, Maple Falls, WA 98266",farm,1,1,1,-122.0929439,48.9239392,"7875 ambridge rd, maple falls, wa 98266, usa"
17,Brothers & Co,Seattle 98104,prepared food,1,0,1,-122.3323351,47.6015566,"seattle, wa 98104, usa"
