Name,Association,Address,2020 Status,2021 Status,Seasonality
Ballard Farmers Market ,Seattle Farmers Market Association ,"5345 Ballard Ave NW, Seattle, WA 98107",open with delay,open,year round
Madrona Farmers Market,Seattle Farmers Market Association ,"1126 Martin Luther King Jr Way, Seattle, WA 98122",open with delay,open,seasonal 
Wallingford Farmers Market ,Seattle Farmers Market Association ,"4800 Meridian Ave N, Seattle, WA 98103",closed ,open,seasonal 
Queen Anne Farmers Market ,Queen Anne Farmers Market ,"West Crockett St. and Queen Anne Ave, Seattle, WA 98109",open,open,seasonal 
West Seattle Neighborhood Farmers Market ,Seattle Neighborhood Farmers Markets ,"California Ave SW and SW Alaska, Seattle, WA 98116",open with delay,open,year round
Capitol Hill Neighborhood Farmers Market ,Seattle Neighborhood Farmers Markets ,"E Denny Way between Broadway & 10th Ave E, Seattle, WA 98112",open with delay,open,year round
University District Neighborhood Farmers Market ,Seattle Neighborhood Farmers Markets ,"University Way NE & 52nd Street, Seattle, WA 98105",open with delay,open ,year round
Columbia City Neighborhood Farmers Market ,Seattle Neighborhood Farmers Markets ,"37th Ave S & S Edmunds St, South Seattle, WA 98118",open,open,seasonal 
Lake City Neighborhood Farmers Market ,Seattle Neighborhood Farmers Markets ,"NE 125th & 28th NE, Lake City, WA 98125",closed ,open,seasonal 
Phinney Neighborhood Farmers Market ,Seattle Neighborhood Farmers Markets ,"6761 Phinney Ave N, Seattle, WA 98103",closed ,closed,seasonal 
Magnolia Neighborhood Farmers Market ,Seattle Neighborhood Farmers Markets ,"West McGraw Street, 33rd Ave W, Seattle, WA 98199",closed ,open,seasonal 
City Hall Farmers Market ,Pike Place Farmers Markets ,"600 4th Ave, Seattle, WA 98104",closed ,closed ,seasonal 
The Regrade Farmers Market ,Pike Place Farmers Markets ,"Lenora St & 7th Ave, Seattle, WA 98121",closed ,closed ,seasonal 
South Lake Union Farmers Market ,Pike Place Farmers Markets ,"410 Terry Ave N, Seattle, WA 98109",closed ,open ,seasonal 
First Hill Farmers Market ,Pike Place Farmers Markets ,"University St & 9th Ave, Seattle, WA 98101",closed ,open,seasonal 
Pike Place Farmers Market ,Pike Place Farmers Markets ,"1901 Western Ave, Seattle, WA 98101",open with delay,open ,year round
