ID,FS1,FS2,FS3,FS4,FS5,FS6,FS7,FS8,FS8C,HO,WH,W1,W2,W3,W4,W5,W5C,P1,P2,F1,F2,F3,F4,F5,VML,D1,D2,D3,LM,LL,LC
IP1,Yes,No,No,No,No,Yes,No,No,,Weekly,The closest market to me in my neighborhood,Yes,No,Yes,No,No,,20,10,More likely to visit,More likely to visit,More likely to visit,Had no effect,More likely to visit,I visited the market the same amount,70-79,Female,98119,"community connection, seeing people",last year having to wait in line and go in one direction ,
IP2,Yes,No,No,Yes,No,No,No,No,,Weekly,The closest market to me in my neighborhood,Yes,No,No,Yes,No,,60,40,More likely to visit,More likely to visit,Had no effect,Had no effect,More likely to visit,I visited the market the same amount,Under 20,Male,98119,community ,less hot food,
IP3,Yes,No,No,Yes,No,Yes,No,No,,Weekly,The closest market to me in my neighborhood,Yes,No,Yes,No,No,,10,10,Had no effect,Had no effect,Had no effect,Had no effect,More likely to visit,I visited the market less during the pandemic,70-79,Female,98109,getting out ,restricted one way traffic,need better food trucks
IP4,Yes,No,No,No,No,Yes,No,No,,Weekly,Different market(s) in Seattle,Yes,No,Yes,No,No,,20,10,Had no effect,Had no effect,More likely to visit,Had no effect,More likely to visit,I visited the market more during the pandemic,30-39,Male,98119,the innovation to stay open ,reduced amount of vendors ,keep up the good work!
IP5,No,No,No,No,No,Yes,Yes,No,,Monthly,The closest market to me in my neighborhood,Yes,Yes,Yes,No,No,,10,0,Less likely to visit,Less likely to visit,Less likely to visit,Less likely to visit,Had no effect,I visited the market less during the pandemic,30-39,Female,98119,,lines for entry discouraged me,
IP6,Yes,No,No,No,No,Yes,No,No,,Weekly,The closest market to me in my neighborhood,Yes,Yes,No,No,No,,10,20,Had no effect,Had no effect,Had no effect,Had no effect,More likely to visit,I visited the market more during the pandemic,20-29,Male,98119,the people ,none,(smiley face drawn) thank you for what you do!
IP7,No,No,No,Yes,No,Yes,No,No,,Weekly,The closest market to me in my neighborhood,Yes,Yes,No,No,No,,20,30,More likely to visit,More likely to visit,More likely to visit,More likely to visit,More likely to visit,I visited the market the same amount,30-39,Female,98119,,,
IP8,Yes,No,No,No,No,Yes,No,No,,Weekly,The closest market to me in my neighborhood,Yes,No,Yes,No,No,,10,10,Less likely to visit,Less likely to visit,Less likely to visit,Less likely to visit,More likely to visit,I visited the market less during the pandemic,20-29,Female,98119,getting local food,health concerns,nope (smiley face drawn)
IP9,Yes,No,No,No,No,Yes,No,No,,Weekly,Different market(s) in Seattle,Yes,No,Yes,No,No,,0,0,Less likely to visit,Less likely to visit,Had no effect,Had no effect,More likely to visit,I visited the market the same amount,50-59,Male,98119,"people, small biz!",crowds (underlined for emphasis),love the new food truck set-up
IP10,No,No,No,No,No,Yes,Yes,No,,Weekly,The closest market to me in my neighborhood,No,No,No,No,Yes,my wife volunteers :),10,10,Had no effect,Had no effect,Had no effect,Had no effect,Had no effect,I visited the market the same amount,50-59,Male,98119,seeing people outside of home,nothing ,no
